engine,frame,time_ps_mda,n_res_4p0A,n_res_5p0A,n_res_6p0A,time_ps,time_ns,C4_O1_A,RS_label,RS_label_raw,signed_triple_O1_C5phenyl_C3chain_about_C4
gromacs_1k_timing,48,240.0,12,15,19,240.0,0.24,4.288286685943604,R-like,R_like_by_product_reference,-1.582958459854126
gromacs_1k_timing,49,245.0,11,15,17,245.0,0.245,4.253692150115967,R-like,R_like_by_product_reference,-1.711809515953064
gromacs_1k_timing,50,250.0,11,12,19,250.0,0.25,4.350296974182129,R-like,R_like_by_product_reference,-1.467965841293335
gromacs_1k_timing,51,255.0,10,14,16,255.0,0.255,4.074075698852539,S-like,S_like_by_product_reference,4.665335178375244
gromacs_1k_timing,52,260.0,10,13,20,260.0,0.26,4.2694854736328125,R-like,R_like_by_product_reference,-1.1655941009521484
gromacs_1k_timing,53,265.0,10,14,19,265.0,0.265,4.19080924987793,S-like,S_like_by_product_reference,2.1146490573883057
gromacs_1k_timing,54,270.0,10,14,16,270.0,0.27,4.422151565551758,R-like,R_like_by_product_reference,-0.7180922627449036
gromacs_1k_timing,55,275.0,10,15,17,275.0,0.275,4.299302577972412,S-like,S_like_by_product_reference,1.9596794843673704
gromacs_1k_timing,56,280.0,9,14,19,280.0,0.28,4.354928970336914,R-like,R_like_by_product_reference,-1.6807270050048828
gromacs_1k_timing,57,285.0,11,14,16,285.0,0.285,4.3326802253723145,R-like,R_like_by_product_reference,-0.6787579655647278
gromacs_1k_timing,58,290.0,12,14,17,290.0,0.29,4.240232944488525,R-like,R_like_by_product_reference,-0.7057093977928162
gromacs_1k_timing,59,295.0,10,15,17,295.0,0.295,4.335758686065674,R-like,R_like_by_product_reference,-2.0084688663482666
gromacs_1k_timing,60,300.0,11,13,17,300.0,0.3,4.338538646697998,R-like,R_like_by_product_reference,-1.8104974031448364
gromacs_1k_timing,61,305.0,10,13,17,305.0,0.305,4.2886271476745605,R-like,R_like_by_product_reference,-0.1302023530006408
gromacs_1k_timing,62,310.0,11,14,18,310.0,0.31,4.197641372680664,R-like,R_like_by_product_reference,-2.338439702987671
gromacs_1k_timing,63,315.0,10,14,18,315.0,0.315,4.286743640899658,R-like,R_like_by_product_reference,-0.4488629698753357
gromacs_1k_timing,64,320.0,10,13,18,320.0,0.32,4.280910968780518,R-like,R_like_by_product_reference,-0.972371220588684
