engine,frame,time_ps_mda,n_res_4p0A,n_res_5p0A,n_res_6p0A,time_ps,time_ns,C4_O1_A,RS_label,RS_label_raw,signed_triple_O1_C5phenyl_C3chain_about_C4
gromacs_1k_timing,210,1050.0,11,15,16,1050.0,1.05,3.0161237716674805,S-like,S_like_by_product_reference,0.8536661863327026
gromacs_1k_timing,211,1055.0,11,14,15,1055.0,1.055,3.3719570636749268,R-like,R_like_by_product_reference,-5.1096673011779785
gromacs_1k_timing,212,1060.0,11,14,17,1060.0,1.06,3.223984956741333,R-like,R_like_by_product_reference,-1.9828792810440063
gromacs_1k_timing,213,1065.0,12,14,16,1065.0,1.065,3.225447654724121,R-like,R_like_by_product_reference,-0.855567455291748
gromacs_1k_timing,214,1070.0,9,15,16,1070.0,1.07,3.142388343811035,S-like,S_like_by_product_reference,1.83052921295166
gromacs_1k_timing,215,1075.0,11,15,17,1075.0,1.075,3.303666114807129,S-like,S_like_by_product_reference,5.747901916503906
gromacs_1k_timing,216,1080.0,11,15,16,1080.0,1.08,3.057922124862671,S-like,S_like_by_product_reference,3.317718982696533
gromacs_1k_timing,217,1085.0,12,15,18,1085.0,1.085,3.103078365325928,R-like,R_like_by_product_reference,-1.2147337198257446
gromacs_1k_timing,218,1090.0,11,15,19,1090.0,1.09,3.114480495452881,R-like,R_like_by_product_reference,-2.576195001602173
gromacs_1k_timing,219,1095.0,11,15,20,1095.0,1.095,3.313567638397217,R-like,R_like_by_product_reference,-1.473655343055725
gromacs_1k_timing,220,1100.0,11,15,18,1100.0,1.1,3.00274658203125,R-like,R_like_by_product_reference,-1.128820300102234
gromacs_1k_timing,221,1105.0,9,14,19,1105.0,1.105,3.2591264247894287,R-like,R_like_by_product_reference,-1.441648006439209
gromacs_1k_timing,222,1110.0,12,14,18,1110.0,1.11,3.2607641220092773,R-like,R_like_by_product_reference,-3.4713926315307617
gromacs_1k_timing,223,1115.0,11,14,17,1115.0,1.115,3.096401691436768,R-like,R_like_by_product_reference,-3.294080972671509
gromacs_1k_timing,224,1120.0,11,15,18,1120.0,1.12,2.913656234741211,R-like,R_like_by_product_reference,-2.2326505184173584
gromacs_1k_timing,225,1125.0,12,15,16,1125.0,1.125,3.324049234390259,R-like,R_like_by_product_reference,-1.4030463695526123
gromacs_1k_timing,226,1130.0,12,14,15,1130.0,1.13,3.0454556941986084,R-like,R_like_by_product_reference,-1.0525158643722534
gromacs_1k_timing,227,1135.0,12,14,18,1135.0,1.135,3.2201552391052246,R-like,R_like_by_product_reference,-4.38015079498291
gromacs_1k_timing,228,1140.0,10,13,17,1140.0,1.14,3.159920215606689,R-like,R_like_by_product_reference,-3.8320584297180176
gromacs_1k_timing,229,1145.0,9,13,19,1145.0,1.145,3.3190958499908447,R-like,R_like_by_product_reference,-4.490954399108887
gromacs_1k_timing,230,1150.0,10,14,17,1150.0,1.15,3.2654709815979004,R-like,R_like_by_product_reference,-3.3431556224823
gromacs_1k_timing,231,1155.0,10,13,16,1155.0,1.155,3.0472590923309326,R-like,R_like_by_product_reference,-2.615359306335449
gromacs_1k_timing,232,1160.0,9,14,17,1160.0,1.16,3.3261537551879883,R-like,R_like_by_product_reference,-1.0976914167404177
gromacs_1k_timing,233,1165.0,8,14,20,1165.0,1.165,3.050081729888916,R-like,R_like_by_product_reference,-2.228179216384888
gromacs_1k_timing,234,1170.0,10,13,18,1170.0,1.17,3.235027313232422,R-like,R_like_by_product_reference,-1.5877794027328491
gromacs_1k_timing,235,1175.0,9,14,20,1175.0,1.175,3.025787830352783,R-like,R_like_by_product_reference,-1.2657684087753296
gromacs_1k_timing,236,1180.0,8,15,17,1180.0,1.18,3.614427328109741,R-like,R_like_by_product_reference,-5.06742525100708
gromacs_1k_timing,237,1185.0,9,15,17,1185.0,1.185,2.83268404006958,S-like,S_like_by_product_reference,2.04933762550354
gromacs_1k_timing,238,1190.0,9,13,16,1190.0,1.19,3.08877182006836,R-like,R_like_by_product_reference,-0.1268264502286911
gromacs_1k_timing,239,1195.0,8,13,18,1195.0,1.195,3.167030096054077,R-like,R_like_by_product_reference,-0.4877114593982696
gromacs_1k_timing,240,1200.0,12,13,18,1200.0,1.2,2.923660516738892,R-like,R_like_by_product_reference,-2.7433669567108154
gromacs_1k_timing,241,1205.0,12,14,20,1205.0,1.205,3.452432632446289,S-like,S_like_by_product_reference,4.968536853790283
gromacs_1k_timing,242,1210.0,11,14,18,1210.0,1.21,3.1138741970062256,S-like,S_like_by_product_reference,1.5751205682754517
gromacs_1k_timing,243,1215.0,11,15,20,1215.0,1.215,3.124690055847168,S-like,S_like_by_product_reference,2.980181932449341
gromacs_1k_timing,244,1220.0,12,14,19,1220.0,1.22,3.004927635192871,S-like,S_like_by_product_reference,2.5953128337860107
gromacs_1k_timing,245,1225.0,11,14,17,1225.0,1.225,3.118637800216675,S-like,S_like_by_product_reference,3.3766977787017822
gromacs_1k_timing,246,1230.0,10,14,17,1230.0,1.23,3.202544450759888,S-like,S_like_by_product_reference,2.370899438858032
gromacs_1k_timing,247,1235.0,8,14,18,1235.0,1.235,3.105222463607788,R-like,R_like_by_product_reference,-2.4590675830841064
gromacs_1k_timing,248,1240.0,11,13,19,1240.0,1.24,3.0194361209869385,S-like,S_like_by_product_reference,2.10058069229126
gromacs_1k_timing,249,1245.0,10,14,20,1245.0,1.245,3.182908773422241,R-like,R_like_by_product_reference,-1.5893046855926514
gromacs_1k_timing,250,1250.0,7,13,17,1250.0,1.25,3.19153380393982,R-like,R_like_by_product_reference,-4.437757968902588
gromacs_1k_timing,251,1255.0,9,14,15,1255.0,1.255,3.3086721897125244,R-like,R_like_by_product_reference,-3.1241390705108643
gromacs_1k_timing,252,1260.0,10,14,16,1260.0,1.26,3.192554235458374,R-like,R_like_by_product_reference,-2.475445508956909
gromacs_1k_timing,253,1265.0,8,14,15,1265.0,1.265,3.119823694229126,R-like,R_like_by_product_reference,-4.170459747314453
gromacs_1k_timing,254,1270.0,11,14,19,1270.0,1.27,2.877049446105957,R-like,R_like_by_product_reference,-3.874624967575073
gromacs_1k_timing,255,1275.0,10,14,17,1275.0,1.275,3.342723846435547,R-like,R_like_by_product_reference,-4.430420398712158
gromacs_1k_timing,256,1280.0,10,14,16,1280.0,1.28,3.240079879760742,R-like,R_like_by_product_reference,-4.498088836669922
gromacs_1k_timing,257,1285.0,9,14,17,1285.0,1.285,3.054752826690674,R-like,R_like_by_product_reference,-1.6316022872924805
gromacs_1k_timing,258,1290.0,10,14,18,1290.0,1.29,3.035916328430176,R-like,R_like_by_product_reference,-4.511049270629883
gromacs_1k_timing,259,1295.0,10,14,20,1295.0,1.295,3.202078104019165,R-like,R_like_by_product_reference,-4.123766899108887
gromacs_1k_timing,260,1300.0,10,14,17,1300.0,1.3,3.0404746532440186,R-like,R_like_by_product_reference,-2.910351037979126
gromacs_1k_timing,261,1305.0,12,14,16,1305.0,1.305,3.230526924133301,R-like,R_like_by_product_reference,-3.407188653945923
gromacs_1k_timing,262,1310.0,10,14,16,1310.0,1.31,3.1934456825256348,R-like,R_like_by_product_reference,-2.993890285491944
gromacs_1k_timing,263,1315.0,10,13,19,1315.0,1.315,3.2761223316192627,R-like,R_like_by_product_reference,-5.245121955871582
gromacs_1k_timing,264,1320.0,8,13,15,1320.0,1.32,3.1232035160064697,R-like,R_like_by_product_reference,-4.314770221710205
gromacs_1k_timing,265,1325.0,8,13,19,1325.0,1.325,3.1427102088928223,R-like,R_like_by_product_reference,-5.286120891571045
gromacs_1k_timing,266,1330.0,8,13,16,1330.0,1.33,4.308112621307373,R-like,R_like_by_product_reference,-1.307453989982605
gromacs_1k_timing,267,1335.0,7,12,19,1335.0,1.335,4.274168014526367,R-like,R_like_by_product_reference,-0.2549194991588592
gromacs_1k_timing,268,1340.0,9,14,17,1340.0,1.34,4.271812915802002,R-like,R_like_by_product_reference,-1.7096368074417114
gromacs_1k_timing,269,1345.0,8,13,18,1345.0,1.345,4.267551422119141,R-like,R_like_by_product_reference,-0.702965497970581
gromacs_1k_timing,270,1350.0,8,12,17,1350.0,1.35,4.19554615020752,R-like,R_like_by_product_reference,-1.003920316696167
gromacs_1k_timing,271,1355.0,8,13,20,1355.0,1.355,4.267133712768555,R-like,R_like_by_product_reference,-0.9566560387611388
gromacs_1k_timing,272,1360.0,8,11,14,1360.0,1.36,4.206446170806885,R-like,R_like_by_product_reference,-2.2176880836486816
gromacs_1k_timing,273,1365.0,9,15,17,1365.0,1.365,3.2207131385803223,S-like,S_like_by_product_reference,4.163457870483398
gromacs_1k_timing,274,1370.0,9,14,18,1370.0,1.37,3.33803939819336,S-like,S_like_by_product_reference,5.674314975738525
gromacs_1k_timing,275,1375.0,9,13,16,1375.0,1.375,3.2829701900482178,S-like,S_like_by_product_reference,3.248220920562744
gromacs_1k_timing,276,1380.0,8,13,15,1380.0,1.38,3.013468742370605,S-like,S_like_by_product_reference,5.343688488006592
gromacs_1k_timing,277,1385.0,7,12,17,1385.0,1.385,2.8991544246673584,S-like,S_like_by_product_reference,4.803049087524414
gromacs_1k_timing,278,1390.0,8,13,16,1390.0,1.39,2.960826873779297,S-like,S_like_by_product_reference,3.653679609298706
gromacs_1k_timing,279,1395.0,8,13,18,1395.0,1.395,4.147604465484619,S-like,S_like_by_product_reference,4.946611881256104
gromacs_1k_timing,280,1400.0,8,11,19,1400.0,1.4,3.170079469680786,S-like,S_like_by_product_reference,3.388996124267578
gromacs_1k_timing,281,1405.0,9,11,19,1405.0,1.405,3.075028657913208,S-like,S_like_by_product_reference,3.7323811054229736
gromacs_1k_timing,282,1410.0,10,12,17,1410.0,1.41,3.242313861846924,S-like,S_like_by_product_reference,5.468613624572754
gromacs_1k_timing,283,1415.0,8,10,18,1415.0,1.415,3.4656167030334477,S-like,S_like_by_product_reference,5.499301433563232
gromacs_1k_timing,284,1420.0,8,13,19,1420.0,1.42,3.0809428691864014,S-like,S_like_by_product_reference,4.279905319213867
gromacs_1k_timing,285,1425.0,7,11,17,1425.0,1.425,2.9261069297790527,S-like,S_like_by_product_reference,4.455134868621826
gromacs_1k_timing,286,1430.0,8,12,19,1430.0,1.43,3.098034143447876,S-like,S_like_by_product_reference,4.598602771759033
gromacs_1k_timing,287,1435.0,9,10,18,1435.0,1.435,3.292431592941284,S-like,S_like_by_product_reference,4.8979339599609375
gromacs_1k_timing,288,1440.0,7,12,17,1440.0,1.44,4.38883638381958,S-like,S_like_by_product_reference,2.3516621589660645
gromacs_1k_timing,289,1445.0,9,14,19,1445.0,1.445,4.22437858581543,S-like,S_like_by_product_reference,4.139272689819336
gromacs_1k_timing,290,1450.0,9,11,19,1450.0,1.45,4.285974025726318,R-like,R_like_by_product_reference,-2.337711334228516
gromacs_1k_timing,291,1455.0,9,12,19,1455.0,1.455,4.461894035339356,S-like,S_like_by_product_reference,1.225984811782837
gromacs_1k_timing,292,1460.0,9,11,17,1460.0,1.46,4.3541693687438965,S-like,S_like_by_product_reference,0.8370029330253601
gromacs_1k_timing,293,1465.0,9,11,16,1465.0,1.465,4.2517409324646,S-like,S_like_by_product_reference,3.0606114864349365
gromacs_1k_timing,294,1470.0,9,12,17,1470.0,1.47,4.24495792388916,S-like,S_like_by_product_reference,3.690012693405152
gromacs_1k_timing,295,1475.0,9,12,19,1475.0,1.475,4.185044765472412,S-like,S_like_by_product_reference,2.7302052974700928
gromacs_1k_timing,296,1480.0,9,11,18,1480.0,1.48,4.496541500091553,S-like,S_like_by_product_reference,2.869187355041504
gromacs_1k_timing,297,1485.0,7,13,17,1485.0,1.485,4.256125450134277,R-like,R_like_by_product_reference,-2.08011531829834
gromacs_1k_timing,298,1490.0,8,12,18,1490.0,1.49,4.304750442504883,S-like,S_like_by_product_reference,0.2643437683582306
gromacs_1k_timing,299,1495.0,9,11,16,1495.0,1.495,4.432899951934815,R-like,R_like_by_product_reference,-0.4939651191234588
gromacs_1k_timing,300,1500.0,8,12,17,1500.0,1.5,4.319018840789795,R-like,R_like_by_product_reference,-1.0064889192581177
gromacs_1k_timing,301,1505.0,8,12,18,1505.0,1.505,4.141232013702393,R-like,R_like_by_product_reference,-0.1982439905405044
gromacs_1k_timing,302,1510.0,9,11,14,1510.0,1.51,4.3519673347473145,R-like,R_like_by_product_reference,-0.5585623383522034
gromacs_1k_timing,303,1515.0,8,12,17,1515.0,1.515,4.239259719848633,S-like,S_like_by_product_reference,2.1197702884674072
gromacs_1k_timing,304,1520.0,9,13,17,1520.0,1.52,4.323340892791748,R-like,R_like_by_product_reference,-0.4265885949134826
gromacs_1k_timing,305,1525.0,10,11,17,1525.0,1.525,4.357466220855713,S-like,S_like_by_product_reference,1.1937620639801023
gromacs_1k_timing,306,1530.0,9,12,17,1530.0,1.53,4.352194309234619,R-like,R_like_by_product_reference,-0.634244978427887
gromacs_1k_timing,307,1535.0,10,13,16,1535.0,1.535,4.218593120574951,R-like,R_like_by_product_reference,-0.139859452843666
gromacs_1k_timing,308,1540.0,9,11,16,1540.0,1.54,4.325867176055908,S-like,S_like_by_product_reference,0.042098831385374
gromacs_1k_timing,309,1545.0,9,11,18,1545.0,1.545,4.235671520233154,R-like,R_like_by_product_reference,-0.0542900003492832
gromacs_1k_timing,310,1550.0,9,12,18,1550.0,1.55,4.288692951202393,R-like,R_like_by_product_reference,-0.8871471285820007
gromacs_1k_timing,311,1555.0,11,12,19,1555.0,1.555,4.35498571395874,R-like,R_like_by_product_reference,-2.3698067665100098
gromacs_1k_timing,312,1560.0,9,12,16,1560.0,1.56,2.9289939403533936,S-like,S_like_by_product_reference,1.0726302862167358
gromacs_1k_timing,313,1565.0,9,10,16,1565.0,1.565,3.0384528636932373,S-like,S_like_by_product_reference,2.205511569976806
gromacs_1k_timing,314,1570.0,11,13,18,1570.0,1.57,3.1587026119232178,S-like,S_like_by_product_reference,0.832717776298523
gromacs_1k_timing,315,1575.0,8,13,18,1575.0,1.575,3.2025887966156006,S-like,S_like_by_product_reference,4.012246608734131
gromacs_1k_timing,316,1580.0,9,13,16,1580.0,1.58,2.948493242263794,S-like,S_like_by_product_reference,5.007304668426514
gromacs_1k_timing,317,1585.0,10,12,17,1585.0,1.585,4.384620189666748,S-like,S_like_by_product_reference,2.7140979766845703
gromacs_1k_timing,318,1590.0,9,11,16,1590.0,1.59,4.330507278442383,S-like,S_like_by_product_reference,4.621345520019531
gromacs_1k_timing,319,1595.0,10,13,18,1595.0,1.595,4.3732991218566895,S-like,S_like_by_product_reference,3.03538179397583
gromacs_1k_timing,320,1600.0,9,12,19,1600.0,1.6,3.708005905151367,S-like,S_like_by_product_reference,4.4729437828063965
gromacs_1k_timing,321,1605.0,11,11,17,1605.0,1.605,3.1864402294158936,R-like,R_like_by_product_reference,-5.495429039001465
gromacs_1k_timing,322,1610.0,10,12,17,1610.0,1.61,3.0582315921783447,S-like,S_like_by_product_reference,5.202917575836182
gromacs_1k_timing,323,1615.0,10,12,18,1615.0,1.615,2.963274478912353,S-like,S_like_by_product_reference,3.5207974910736084
gromacs_1k_timing,324,1620.0,9,12,16,1620.0,1.62,3.13773775100708,S-like,S_like_by_product_reference,5.059182167053223
gromacs_1k_timing,325,1625.0,8,12,16,1625.0,1.625,3.195948362350464,S-like,S_like_by_product_reference,5.159283638000488
gromacs_1k_timing,326,1630.0,10,12,14,1630.0,1.63,3.06889009475708,S-like,S_like_by_product_reference,3.7244198322296143
gromacs_1k_timing,327,1635.0,9,12,17,1635.0,1.635,3.1357462406158447,S-like,S_like_by_product_reference,3.9939913749694815
gromacs_1k_timing,328,1640.0,9,14,17,1640.0,1.64,3.1354901790618896,S-like,S_like_by_product_reference,4.561683654785156
gromacs_1k_timing,329,1645.0,10,14,18,1645.0,1.645,3.137611150741577,S-like,S_like_by_product_reference,3.2154762744903564
gromacs_1k_timing,330,1650.0,11,12,19,1650.0,1.65,3.2072091102600098,S-like,S_like_by_product_reference,1.651656150817871
gromacs_1k_timing,331,1655.0,9,11,17,1655.0,1.655,3.474034547805786,R-like,R_like_by_product_reference,-5.862314224243164
gromacs_1k_timing,332,1660.0,11,11,17,1660.0,1.66,3.3229191303253174,R-like,R_like_by_product_reference,-6.602403163909912
gromacs_1k_timing,333,1665.0,10,13,18,1665.0,1.665,3.0107791423797607,R-like,R_like_by_product_reference,-6.161851406097412
gromacs_1k_timing,334,1670.0,11,14,17,1670.0,1.67,3.3017282485961914,R-like,R_like_by_product_reference,-6.702306270599365
gromacs_1k_timing,335,1675.0,10,12,18,1675.0,1.675,3.4678375720977783,R-like,R_like_by_product_reference,-7.01427173614502
gromacs_1k_timing,336,1680.0,10,13,17,1680.0,1.68,3.586751937866211,R-like,R_like_by_product_reference,-7.4763641357421875
gromacs_1k_timing,337,1685.0,8,12,20,1685.0,1.685,3.640137910842896,R-like,R_like_by_product_reference,-6.908458709716797
gromacs_1k_timing,338,1690.0,9,12,17,1690.0,1.69,3.078070163726806,R-like,R_like_by_product_reference,-6.531747341156006
gromacs_1k_timing,339,1695.0,9,14,21,1695.0,1.695,3.2629587650299072,R-like,R_like_by_product_reference,-6.463438510894775
gromacs_1k_timing,340,1700.0,9,14,18,1700.0,1.7,3.290255069732666,R-like,R_like_by_product_reference,-6.119853496551514
gromacs_1k_timing,341,1705.0,8,12,18,1705.0,1.705,3.135680675506592,R-like,R_like_by_product_reference,-6.186493396759033
gromacs_1k_timing,342,1710.0,8,11,15,1710.0,1.71,3.122851848602295,R-like,R_like_by_product_reference,-5.985085964202881
gromacs_1k_timing,343,1715.0,9,12,17,1715.0,1.715,3.3441479206085205,R-like,R_like_by_product_reference,-7.250102996826172
gromacs_1k_timing,344,1720.0,9,12,18,1720.0,1.72,3.0680601596832275,R-like,R_like_by_product_reference,-6.355575084686279
gromacs_1k_timing,345,1725.0,8,11,17,1725.0,1.725,3.452707290649414,R-like,R_like_by_product_reference,-6.845073223114014
gromacs_1k_timing,346,1730.0,9,13,18,1730.0,1.73,3.790355920791626,R-like,R_like_by_product_reference,-8.03554630279541
gromacs_1k_timing,347,1735.0,8,12,17,1735.0,1.735,3.64431095123291,R-like,R_like_by_product_reference,-8.01574420928955
gromacs_1k_timing,348,1740.0,8,12,18,1740.0,1.74,3.4129292964935303,R-like,R_like_by_product_reference,-7.385238170623779
gromacs_1k_timing,349,1745.0,9,14,16,1745.0,1.745,3.414848566055298,R-like,R_like_by_product_reference,-6.921719551086426
gromacs_1k_timing,350,1750.0,9,11,18,1750.0,1.75,3.312431812286377,R-like,R_like_by_product_reference,-6.543335437774658
gromacs_1k_timing,351,1755.0,9,14,19,1755.0,1.755,3.078472852706909,R-like,R_like_by_product_reference,-5.886682033538818
gromacs_1k_timing,352,1760.0,11,13,18,1760.0,1.76,3.214108467102051,R-like,R_like_by_product_reference,-6.332482814788818
gromacs_1k_timing,353,1765.0,10,11,16,1765.0,1.765,2.9888756275177,R-like,R_like_by_product_reference,-0.7671566009521484
gromacs_1k_timing,354,1770.0,10,11,19,1770.0,1.77,3.5227997303009038,R-like,R_like_by_product_reference,-6.616576671600342
gromacs_1k_timing,355,1775.0,8,12,17,1775.0,1.775,2.978067636489868,R-like,R_like_by_product_reference,-5.790175437927246
gromacs_1k_timing,356,1780.0,9,12,19,1780.0,1.78,3.298333644866944,R-like,R_like_by_product_reference,-6.3980393409729
gromacs_1k_timing,357,1785.0,10,14,18,1785.0,1.785,3.106733083724976,R-like,R_like_by_product_reference,-5.996586799621582
gromacs_1k_timing,358,1790.0,9,14,18,1790.0,1.79,3.2660367488861084,R-like,R_like_by_product_reference,-6.391602516174316
gromacs_1k_timing,359,1795.0,10,13,18,1795.0,1.795,3.30560040473938,R-like,R_like_by_product_reference,-5.865315437316895
gromacs_1k_timing,360,1800.0,9,14,20,1800.0,1.8,3.2408931255340576,R-like,R_like_by_product_reference,-5.958192825317383
gromacs_1k_timing,361,1805.0,10,13,20,1805.0,1.805,3.26038122177124,R-like,R_like_by_product_reference,-5.966607093811035
gromacs_1k_timing,362,1810.0,9,12,20,1810.0,1.81,3.261915683746338,R-like,R_like_by_product_reference,-5.9698028564453125
gromacs_1k_timing,363,1815.0,8,14,18,1815.0,1.815,3.1602039337158203,R-like,R_like_by_product_reference,-6.077002048492432
gromacs_1k_timing,364,1820.0,9,13,19,1820.0,1.82,3.3774213790893555,R-like,R_like_by_product_reference,-6.243324279785156
gromacs_1k_timing,365,1825.0,8,12,20,1825.0,1.825,3.2327051162719727,R-like,R_like_by_product_reference,-6.8313889503479
gromacs_1k_timing,366,1830.0,8,12,19,1830.0,1.83,3.261992216110229,R-like,R_like_by_product_reference,-6.099844932556152
gromacs_1k_timing,367,1835.0,9,15,18,1835.0,1.835,3.330073356628418,R-like,R_like_by_product_reference,-6.650774002075195
gromacs_1k_timing,368,1840.0,8,13,17,1840.0,1.84,3.3295936584472656,R-like,R_like_by_product_reference,-6.05238676071167
gromacs_1k_timing,369,1845.0,9,13,19,1845.0,1.845,3.030874729156494,R-like,R_like_by_product_reference,-4.49934196472168
gromacs_1k_timing,370,1850.0,10,13,18,1850.0,1.85,3.0894980430603027,R-like,R_like_by_product_reference,-5.63048267364502
gromacs_1k_timing,371,1855.0,9,14,18,1855.0,1.855,3.124324321746826,R-like,R_like_by_product_reference,-6.240094184875488
gromacs_1k_timing,372,1860.0,9,14,19,1860.0,1.86,3.099081993103028,R-like,R_like_by_product_reference,-6.249505043029785
gromacs_1k_timing,373,1865.0,9,15,19,1865.0,1.865,3.414102554321289,R-like,R_like_by_product_reference,-5.39010763168335
gromacs_1k_timing,374,1870.0,10,13,20,1870.0,1.87,3.058269739151001,R-like,R_like_by_product_reference,-5.97251558303833
gromacs_1k_timing,375,1875.0,10,14,18,1875.0,1.875,3.0968520641326904,R-like,R_like_by_product_reference,-6.114460468292236
gromacs_1k_timing,376,1880.0,9,13,18,1880.0,1.88,3.141174793243408,R-like,R_like_by_product_reference,-6.245310783386231
gromacs_1k_timing,377,1885.0,9,13,17,1885.0,1.885,3.052130699157715,R-like,R_like_by_product_reference,-6.108898639678955
gromacs_1k_timing,378,1890.0,7,13,16,1890.0,1.89,3.281583309173584,R-like,R_like_by_product_reference,-6.708639144897461
gromacs_1k_timing,379,1895.0,9,14,18,1895.0,1.895,3.031219244003296,R-like,R_like_by_product_reference,-5.974823474884033
gromacs_1k_timing,380,1900.0,10,11,18,1900.0,1.9,3.2415711879730225,R-like,R_like_by_product_reference,-5.925530910491943
gromacs_1k_timing,381,1905.0,10,11,18,1905.0,1.905,3.182969808578491,R-like,R_like_by_product_reference,-5.550450801849365
gromacs_1k_timing,382,1910.0,10,14,20,1910.0,1.91,3.251295328140259,R-like,R_like_by_product_reference,-6.419085502624512
gromacs_1k_timing,383,1915.0,9,12,20,1915.0,1.915,3.3306026458740234,R-like,R_like_by_product_reference,-6.433150768280029
gromacs_1k_timing,384,1920.0,10,13,17,1920.0,1.92,3.254624128341675,R-like,R_like_by_product_reference,-5.711091995239258
gromacs_1k_timing,385,1925.0,10,14,17,1925.0,1.925,3.0626461505889893,R-like,R_like_by_product_reference,-5.531192302703857
gromacs_1k_timing,386,1930.0,9,12,17,1930.0,1.93,3.1503353118896484,R-like,R_like_by_product_reference,-5.751650333404541
gromacs_1k_timing,387,1935.0,11,11,17,1935.0,1.935,3.0760512351989746,R-like,R_like_by_product_reference,-5.590389251708984
gromacs_1k_timing,388,1940.0,10,15,19,1940.0,1.94,3.3368372917175293,R-like,R_like_by_product_reference,-5.891811847686768
gromacs_1k_timing,389,1945.0,10,14,19,1945.0,1.945,3.0839083194732666,R-like,R_like_by_product_reference,-5.90867280960083
gromacs_1k_timing,390,1950.0,10,14,18,1950.0,1.95,3.000349760055542,R-like,R_like_by_product_reference,-5.605995178222656
gromacs_1k_timing,391,1955.0,8,14,17,1955.0,1.955,3.041349411010742,R-like,R_like_by_product_reference,-5.987846851348877
gromacs_1k_timing,392,1960.0,10,14,17,1960.0,1.96,3.3308959007263184,R-like,R_like_by_product_reference,-6.612244129180908
gromacs_1k_timing,393,1965.0,9,14,17,1965.0,1.965,3.2886738777160645,R-like,R_like_by_product_reference,-6.327095031738281
gromacs_1k_timing,394,1970.0,10,15,19,1970.0,1.97,3.381079912185669,R-like,R_like_by_product_reference,-6.4072747230529785
gromacs_1k_timing,395,1975.0,9,13,19,1975.0,1.975,3.3072664737701416,R-like,R_like_by_product_reference,-6.768573760986328
gromacs_1k_timing,396,1980.0,9,14,18,1980.0,1.98,3.1125707626342773,R-like,R_like_by_product_reference,-6.052639484405518
gromacs_1k_timing,397,1985.0,9,12,18,1985.0,1.985,3.420671939849853,R-like,R_like_by_product_reference,-6.486011028289795
gromacs_1k_timing,398,1990.0,10,12,19,1990.0,1.99,3.245133876800537,R-like,R_like_by_product_reference,-7.272545337677002
gromacs_1k_timing,399,1995.0,10,13,17,1995.0,1.995,3.106590509414673,R-like,R_like_by_product_reference,-5.106816291809082
gromacs_1k_timing,400,2000.0,10,12,18,2000.0,2.0,3.534602165222168,R-like,R_like_by_product_reference,-7.375983715057373
gromacs_1k_timing,401,2005.0,9,13,19,2005.0,2.005,3.2802116870880127,R-like,R_like_by_product_reference,-6.721560478210449
gromacs_1k_timing,402,2010.0,9,13,18,2010.0,2.01,3.1319949626922607,R-like,R_like_by_product_reference,-5.702026844024658
gromacs_1k_timing,403,2015.0,8,12,18,2015.0,2.015,3.357751846313477,R-like,R_like_by_product_reference,-7.078136920928955
gromacs_1k_timing,404,2020.0,8,14,18,2020.0,2.02,3.182154417037964,R-like,R_like_by_product_reference,-5.57029390335083
gromacs_1k_timing,405,2025.0,8,14,17,2025.0,2.025,3.165466547012329,R-like,R_like_by_product_reference,-5.996918201446533
gromacs_1k_timing,406,2030.0,10,15,19,2030.0,2.03,3.155092239379883,R-like,R_like_by_product_reference,-6.133639335632324
gromacs_1k_timing,407,2035.0,8,15,20,2035.0,2.035,3.129122257232666,R-like,R_like_by_product_reference,-6.35810136795044
gromacs_1k_timing,408,2040.0,10,11,19,2040.0,2.04,3.277729034423828,R-like,R_like_by_product_reference,-6.09621524810791
gromacs_1k_timing,409,2045.0,9,13,20,2045.0,2.045,3.042976140975952,R-like,R_like_by_product_reference,-5.296259880065918
gromacs_1k_timing,410,2050.0,11,12,19,2050.0,2.05,3.031188726425171,R-like,R_like_by_product_reference,-5.02118730545044
gromacs_1k_timing,411,2055.0,9,15,19,2055.0,2.055,3.019270420074463,R-like,R_like_by_product_reference,-5.269057750701904
gromacs_1k_timing,412,2060.0,10,12,19,2060.0,2.06,3.1257636547088623,R-like,R_like_by_product_reference,-5.151753902435303
gromacs_1k_timing,413,2065.0,10,11,21,2065.0,2.065,3.178443193435669,R-like,R_like_by_product_reference,-5.884973526000977
gromacs_1k_timing,414,2070.0,10,12,18,2070.0,2.07,3.2223429679870605,R-like,R_like_by_product_reference,-6.495581150054932
gromacs_1k_timing,415,2075.0,9,15,19,2075.0,2.075,3.1674275398254395,R-like,R_like_by_product_reference,-5.727243423461914
gromacs_1k_timing,416,2080.0,10,11,19,2080.0,2.08,3.212753772735596,R-like,R_like_by_product_reference,-5.913741111755371
gromacs_1k_timing,417,2085.0,10,13,18,2085.0,2.085,3.5582454204559326,R-like,R_like_by_product_reference,-6.233650207519531
gromacs_1k_timing,418,2090.0,9,13,20,2090.0,2.09,3.202782392501831,R-like,R_like_by_product_reference,-6.100036144256592
gromacs_1k_timing,419,2095.0,10,11,20,2095.0,2.095,2.9765920639038086,R-like,R_like_by_product_reference,-5.870379447937012
gromacs_1k_timing,420,2100.0,11,12,18,2100.0,2.1,3.1728546619415283,R-like,R_like_by_product_reference,-6.065720558166504
gromacs_1k_timing,421,2105.0,9,14,22,2105.0,2.105,3.228434801101685,R-like,R_like_by_product_reference,-5.488037586212158
