engine,mda_frame,mda_time_ps,pocket_atom_count_6p5A,frame,time_ps,time_ns,C4_O1_A,RS_label
gromacs_full,84,420.0,31,84,420.0,0.42,3.034487009048462,R-like
gromacs_full,85,425.0,27,85,425.0,0.425,3.107122898101806,R-like
gromacs_full,86,430.0,28,86,430.0,0.43,3.047722578048706,R-like
gromacs_full,87,435.0,33,87,435.0,0.435,3.239722728729248,R-like
gromacs_full,88,440.0,31,88,440.0,0.44,3.2437965869903564,R-like
gromacs_full,89,445.0,34,89,445.0,0.445,2.9389801025390625,S-like
gromacs_full,90,450.0,25,90,450.0,0.45,3.480429649353028,R-like
gromacs_full,91,455.0,30,91,455.0,0.455,3.113678216934204,S-like
gromacs_full,92,460.0,30,92,460.0,0.46,3.066528558731079,R-like
gromacs_full,93,465.0,36,93,465.0,0.465,3.00675892829895,S-like
gromacs_full,94,470.0,31,94,470.0,0.47,3.2112932205200195,R-like
gromacs_full,95,475.0,31,95,475.0,0.475,2.9793615341186523,S-like
gromacs_full,96,480.0,39,96,480.0,0.48,2.866421937942505,S-like
gromacs_full,97,485.0,33,97,485.0,0.485,3.1666066646575928,R-like
gromacs_full,98,490.0,34,98,490.0,0.49,2.952711820602417,R-like
gromacs_full,99,495.0,33,99,495.0,0.495,3.157989740371704,R-like
gromacs_full,100,500.0,27,100,500.0,0.5,3.12092924118042,R-like
gromacs_full,101,505.0,37,101,505.0,0.505,3.0202345848083496,R-like
gromacs_full,102,510.0,32,102,510.0,0.51,3.085012912750244,R-like
gromacs_full,103,515.0,31,103,515.0,0.515,3.231687307357788,R-like
gromacs_full,104,520.0,34,104,520.0,0.52,2.8419337272644043,S-like
gromacs_full,105,525.0,33,105,525.0,0.525,3.098052263259888,R-like
gromacs_full,106,530.0,31,106,530.0,0.53,3.1970765590667725,R-like
gromacs_full,107,535.0,39,107,535.0,0.535,2.9373650550842285,S-like
gromacs_full,108,540.0,31,108,540.0,0.54,3.114064693450928,R-like
gromacs_full,109,545.0,25,109,545.0,0.545,3.312009572982788,R-like
gromacs_full,110,550.0,33,110,550.0,0.55,2.920853614807129,R-like
gromacs_full,111,555.0,28,111,555.0,0.555,3.2203264236450195,R-like
gromacs_full,112,560.0,32,112,560.0,0.56,3.222203254699707,R-like
gromacs_full,113,565.0,30,113,565.0,0.565,3.818730592727661,R-like
gromacs_full,114,570.0,31,114,570.0,0.57,2.9996824264526367,R-like
gromacs_full,115,575.0,35,115,575.0,0.575,3.063234329223633,R-like
gromacs_full,116,580.0,35,116,580.0,0.58,3.197667360305786,R-like
gromacs_full,117,585.0,31,117,585.0,0.585,3.2755126953125,S-like
gromacs_full,118,590.0,34,118,590.0,0.59,2.977266550064087,R-like
gromacs_full,119,595.0,28,119,595.0,0.595,3.484952688217163,R-like
gromacs_full,120,600.0,31,120,600.0,0.6,3.277634620666504,R-like
gromacs_full,121,605.0,38,121,605.0,0.605,3.0844943523406982,R-like
gromacs_full,122,610.0,30,122,610.0,0.61,3.141032695770264,R-like
gromacs_full,123,615.0,32,123,615.0,0.615,3.232783079147339,R-like
gromacs_full,124,620.0,30,124,620.0,0.62,3.2551629543304443,S-like
gromacs_full,125,625.0,33,125,625.0,0.625,3.192509174346924,R-like
gromacs_full,126,630.0,32,126,630.0,0.63,3.1737349033355717,R-like
gromacs_full,127,635.0,34,127,635.0,0.635,3.04435396194458,R-like
gromacs_full,128,640.0,34,128,640.0,0.64,3.2803163528442383,R-like
gromacs_full,129,645.0,31,129,645.0,0.645,3.2465665340423584,R-like
gromacs_full,130,650.0,30,130,650.0,0.65,3.232414960861206,R-like
gromacs_full,131,655.0,34,131,655.0,0.655,3.4877631664276123,R-like
gromacs_full,132,660.0,36,132,660.0,0.66,3.5060834884643555,S-like
gromacs_full,133,665.0,37,133,665.0,0.665,3.2502758502960205,S-like
gromacs_full,134,670.0,37,134,670.0,0.67,3.1960935592651367,R-like
gromacs_full,135,675.0,35,135,675.0,0.675,3.1857831478118896,S-like
gromacs_full,136,680.0,35,136,680.0,0.68,3.055436134338379,R-like
gromacs_full,137,685.0,34,137,685.0,0.685,3.145965576171875,R-like
gromacs_full,138,690.0,32,138,690.0,0.69,3.251630544662476,R-like
gromacs_full,139,695.0,30,139,695.0,0.695,3.2136733531951904,R-like
gromacs_full,140,700.0,34,140,700.0,0.7,3.1298036575317383,R-like
gromacs_full,141,705.0,28,141,705.0,0.705,3.287095546722412,R-like
gromacs_full,142,710.0,32,142,710.0,0.71,3.217657327651977,R-like
gromacs_full,143,715.0,36,143,715.0,0.715,3.042200088500977,R-like
gromacs_full,144,720.0,35,144,720.0,0.72,2.993007183074951,R-like
gromacs_full,145,725.0,26,145,725.0,0.725,3.1821532249450684,R-like
gromacs_full,146,730.0,36,146,730.0,0.73,3.033499002456665,R-like
gromacs_full,147,735.0,34,147,735.0,0.735,2.8894975185394287,R-like
gromacs_full,148,740.0,38,148,740.0,0.74,3.1333670616149902,R-like
gromacs_full,149,745.0,30,149,745.0,0.745,3.227083444595337,R-like
gromacs_full,150,750.0,34,150,750.0,0.75,3.2259249687194824,R-like
gromacs_full,151,755.0,33,151,755.0,0.755,3.097839117050171,R-like
gromacs_full,152,760.0,37,152,760.0,0.76,3.080487012863159,S-like
gromacs_full,153,765.0,32,153,765.0,0.765,3.131354808807373,R-like
gromacs_full,154,770.0,33,154,770.0,0.77,3.130769729614258,R-like
gromacs_full,155,775.0,34,155,775.0,0.775,2.986921787261963,R-like
gromacs_full,156,780.0,30,156,780.0,0.78,3.03455138206482,R-like
gromacs_full,157,785.0,36,157,785.0,0.785,3.0334997177124023,S-like
gromacs_full,158,790.0,37,158,790.0,0.79,2.9156978130340576,R-like
gromacs_full,159,795.0,36,159,795.0,0.795,3.1583056449890137,R-like
gromacs_full,160,800.0,37,160,800.0,0.8,3.054769515991211,R-like
gromacs_full,161,805.0,37,161,805.0,0.805,3.007824420928955,R-like
gromacs_full,162,810.0,31,162,810.0,0.81,3.162959337234497,R-like
gromacs_full,163,815.0,34,163,815.0,0.815,3.055176258087158,R-like
gromacs_full,164,820.0,37,164,820.0,0.82,3.0790903568267822,R-like
gromacs_full,165,825.0,34,165,825.0,0.825,3.044567823410034,R-like
gromacs_full,166,830.0,35,166,830.0,0.83,2.9185445308685303,R-like
gromacs_full,167,835.0,37,167,835.0,0.835,2.9032745361328125,R-like
gromacs_full,168,840.0,35,168,840.0,0.84,3.130652666091919,R-like
gromacs_full,169,845.0,32,169,845.0,0.845,3.312657594680786,R-like
gromacs_full,170,850.0,36,170,850.0,0.85,3.1768229007720947,R-like
gromacs_full,171,855.0,31,171,855.0,0.855,3.4012343883514404,R-like
gromacs_full,172,860.0,34,172,860.0,0.86,3.245598077774048,R-like
gromacs_full,173,865.0,34,173,865.0,0.865,2.9882967472076416,R-like
gromacs_full,174,870.0,33,174,870.0,0.87,2.8979666233062744,R-like
gromacs_full,175,875.0,36,175,875.0,0.875,3.064849376678467,R-like
gromacs_full,176,880.0,38,176,880.0,0.88,2.980870246887207,R-like
gromacs_full,177,885.0,37,177,885.0,0.885,2.9817793369293213,R-like
gromacs_full,178,890.0,33,178,890.0,0.89,3.222331523895264,R-like
gromacs_full,179,895.0,34,179,895.0,0.895,3.0540621280670166,R-like
gromacs_full,180,900.0,36,180,900.0,0.9,3.071709394454956,R-like
gromacs_full,181,905.0,31,181,905.0,0.905,3.0428450107574463,S-like
gromacs_full,182,910.0,36,182,910.0,0.91,3.0186774730682373,R-like
gromacs_full,183,915.0,31,183,915.0,0.915,3.1077663898468018,R-like
