engine,method,representation,min_cluster_size,min_samples,n_clusters,noise_fraction,coverage,weighted_abs_R_enrichment,max_abs_R_enrichment,purity,NMI,ARI,score,blocked_logistic_auc_on_PCA20
gromacs_full,pair_network,PCA2,100,10,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8996795141133378
gromacs_full,pair_network,PCA2,100,30,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8996795141133378
gromacs_full,pair_network,PCA2,100,80,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8996795141133378
gromacs_full,pair_network,PCA10,100,10,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8996795141133378
gromacs_full,pair_network,PCA10,100,30,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8996795141133378
gromacs_full,pair_network,PCA10,100,80,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8996795141133378
gromacs_full,pair_network,PCA20,100,10,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8996795141133378
gromacs_full,pair_network,PCA20,100,30,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8996795141133378
gromacs_full,pair_network,PCA20,100,80,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8996795141133378
