engine,frame,time_ps_mda,n_res_4p0A,n_res_5p0A,n_res_6p0A,time_ps,time_ns,C4_O1_A,RS_label,RS_label_raw,signed_triple_O1_C5phenyl_C3chain_about_C4
amber_smoke2,51,362.0,9,16,22,362.0,0.362,4.467697143554688,S-like,S_like_by_product_reference,0.4162892997264862
amber_smoke2,52,367.0,9,16,22,367.0,0.367,4.322763442993164,R-like,R_like_by_product_reference,-0.4077282547950744
amber_smoke2,53,372.0,10,16,22,372.0,0.372,4.265704154968262,R-like,R_like_by_product_reference,-1.1654846668243408
amber_smoke2,54,377.0,12,16,25,377.0,0.377,4.404704570770264,S-like,S_like_by_product_reference,0.360878586769104
amber_smoke2,55,382.0,13,17,23,382.0,0.382,4.235779762268066,S-like,S_like_by_product_reference,0.9573419094085692
amber_smoke2,56,387.0,12,16,21,387.0,0.387,4.4488844871521,S-like,S_like_by_product_reference,1.824888110160828
amber_smoke2,57,392.0,9,18,21,392.0,0.392,4.329357147216797,S-like,S_like_by_product_reference,0.8849083185195923
amber_smoke2,58,397.0,11,15,22,397.0,0.397,4.4719719886779785,S-like,S_like_by_product_reference,1.1343624591827393
amber_smoke2,59,402.0,10,16,21,402.0,0.402,4.2501726150512695,R-like,R_like_by_product_reference,-1.7207322120666504
amber_smoke2,60,407.0,10,14,22,407.0,0.407,4.24777364730835,R-like,R_like_by_product_reference,-1.058234453201294
amber_smoke2,61,412.0,10,16,23,412.0,0.412,4.523548603057861,S-like,S_like_by_product_reference,1.2438393831253052
amber_smoke2,62,417.0,10,16,21,417.0,0.417,4.369669437408447,R-like,R_like_by_product_reference,-1.4004935026168823
amber_smoke2,63,422.0,10,13,20,422.0,0.422,4.495907306671143,R-like,R_like_by_product_reference,-3.23144006729126
amber_smoke2,64,427.0,11,15,20,427.0,0.427,4.290576457977295,R-like,R_like_by_product_reference,-2.584979295730591
amber_smoke2,65,432.0,10,14,19,432.0,0.432,4.383301734924316,S-like,S_like_by_product_reference,0.5647860169410706
amber_smoke2,66,437.0,11,16,24,437.0,0.437,4.318531513214111,R-like,R_like_by_product_reference,-0.935605764389038
amber_smoke2,67,442.0,10,16,20,442.0,0.442,4.498056411743164,S-like,S_like_by_product_reference,1.4769757986068726
amber_smoke2,68,447.0,11,15,22,447.0,0.447,4.263161659240723,S-like,S_like_by_product_reference,0.2599149346351623
amber_smoke2,69,452.0,10,14,20,452.0,0.452,4.41099214553833,R-like,R_like_by_product_reference,-1.113555669784546
amber_smoke2,70,457.0,11,14,20,457.0,0.457,4.33074426651001,R-like,R_like_by_product_reference,-2.126218557357788
amber_smoke2,71,462.0,12,15,20,462.0,0.462,4.315120697021484,R-like,R_like_by_product_reference,-0.4013595581054687
amber_smoke2,72,467.0,11,14,19,467.0,0.467,4.38272762298584,R-like,R_like_by_product_reference,-1.8155531883239744
amber_smoke2,73,472.0,10,15,18,472.0,0.472,4.321516513824463,R-like,R_like_by_product_reference,-1.5434541702270508
amber_smoke2,74,477.0,10,14,19,477.0,0.477,4.185142993927002,S-like,S_like_by_product_reference,0.0809893310070037
amber_smoke2,75,482.0,10,14,20,482.0,0.482,4.237958908081055,S-like,S_like_by_product_reference,1.3546019792556765
amber_smoke2,76,487.0,9,14,22,487.0,0.487,4.326244354248047,S-like,S_like_by_product_reference,1.4086061716079712
amber_smoke2,77,492.0,9,16,20,492.0,0.492,4.259726047515869,S-like,S_like_by_product_reference,1.224294900894165
amber_smoke2,78,497.0,10,15,19,497.0,0.497,4.351941585540772,R-like,R_like_by_product_reference,-0.6601941585540771
amber_smoke2,79,502.0,8,15,18,502.0,0.502,4.272247314453125,S-like,S_like_by_product_reference,0.3273645043373108
amber_smoke2,80,507.0,11,15,19,507.0,0.507,4.47338342666626,R-like,R_like_by_product_reference,-0.4296834766864776
amber_smoke2,81,512.0,12,15,18,512.0,0.512,4.318159103393555,S-like,S_like_by_product_reference,0.3918687999248504
amber_smoke2,82,517.0,12,15,18,517.0,0.517,4.338911056518555,S-like,S_like_by_product_reference,1.7777671813964844
amber_smoke2,83,522.0,11,16,21,522.0,0.522,4.4467878341674805,S-like,S_like_by_product_reference,1.4146374464035034
amber_smoke2,84,527.0,10,15,19,527.0,0.527,4.469503879547119,R-like,R_like_by_product_reference,-0.4226105511188507
amber_smoke2,85,532.0,10,16,21,532.0,0.532,4.437832832336426,S-like,S_like_by_product_reference,2.6285970211029053
amber_smoke2,86,537.0,9,15,20,537.0,0.537,4.490212917327881,S-like,S_like_by_product_reference,2.4402050971984863
amber_smoke2,87,542.0,11,15,21,542.0,0.542,4.465434074401856,S-like,S_like_by_product_reference,2.0840282440185547
amber_smoke2,88,547.0,10,14,19,547.0,0.547,4.29077672958374,S-like,S_like_by_product_reference,3.1212949752807617
amber_smoke2,89,552.0,10,15,21,552.0,0.552,4.326417922973633,R-like,R_like_by_product_reference,-1.1114470958709717
amber_smoke2,90,557.0,11,15,19,557.0,0.557,4.377387523651123,S-like,S_like_by_product_reference,0.7958003878593445
amber_smoke2,91,562.0,9,15,20,562.0,0.562,4.432784557342529,S-like,S_like_by_product_reference,1.5534563064575195
amber_smoke2,92,567.0,9,14,19,567.0,0.567,4.692339420318604,S-like,S_like_by_product_reference,4.630848407745361
amber_smoke2,93,572.0,9,14,19,572.0,0.572,4.453367233276367,R-like,R_like_by_product_reference,-0.5953468680381775
amber_smoke2,94,577.0,11,16,19,577.0,0.577,4.39418363571167,S-like,S_like_by_product_reference,0.5045170783996582
amber_smoke2,95,582.0,10,15,19,582.0,0.582,4.4699530601501465,R-like,R_like_by_product_reference,-1.939664483070373
amber_smoke2,96,587.0,9,14,20,587.0,0.587,4.357863426208496,R-like,R_like_by_product_reference,-1.4315531253814695
amber_smoke2,97,592.0,10,15,22,592.0,0.592,4.260499000549316,R-like,R_like_by_product_reference,-1.7470088005065918
amber_smoke2,98,597.0,10,16,21,597.0,0.597,4.619856357574463,S-like,S_like_by_product_reference,5.171018600463867
amber_smoke2,99,602.0,11,17,24,602.0,0.602,4.762229442596436,S-like,S_like_by_product_reference,3.695467948913574
